Real GDP growth (Annual percent change),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
ASEAN-5,7.7,6.5,3.8,4.5,4.6,1.3,5.2,6.9,8.8,9.4,8.7,7.5,6.6,7.9,7.7,7.9,7.4,3.8,-8.8,3.0,5.6,2.7,4.8,5.5,6.1,5.3,5.7,6.4,5.1,2.0,7.6,4.8,6.2,5.0,4.5,4.6,4.8,5.2,5.0,4.3,-4.4,4.0,5.5,4.5,4.6,4.6,4.6,4.5,4.6
Advanced economies,1.3,2.0,0.2,3.2,4.8,3.7,3.3,3.8,4.8,3.9,3.1,1.6,2.2,1.3,3.3,2.9,3.0,3.5,2.8,3.6,4.1,1.5,1.6,2.0,3.3,2.8,3.0,2.7,0.3,-3.4,3.2,1.7,1.2,1.4,2.0,2.3,1.8,2.5,2.3,1.7,-4.2,5.4,2.7,1.3,1.4,1.8,1.9,1.8,1.8
Afghanistan,8.79,11.85,9.766666666666666,8.933333333333334,10.816666666666666,10.083333333333332,10.033333333333333,10.8,11.933333333333334,9.0,10.633333333333335,9.916666666666668,8.183333333333334,8.983333333333334,10.25,10.183333333333334,11.683333333333334,9.866666666666667,8.35,9.966666666666667,10.416666666666666,8.433333333333334,8.666666666666668,8.7,0.7,11.8,5.4,13.3,3.9,20.6,8.4,6.5,14.0,5.7,2.7,1.0,2.2,2.6,1.2,3.9,-2.4,13.3,12.533333333333335,11.983333333333334,13.766666666666666,14.533333333333335,14.983333333333334,14.5,14.416666666666664
Africa (Region),4.374601433049709,3.738894362342638,4.74111658456486,3.9033388067870827,4.656672140120417,6.638894362342637,5.9300054734537495,5.243338806787083,7.4188943623426375,6.143338806787082,5.432227695675971,2.3,0.1,0.9,2.5,2.6,5.0,3.2,4.0,3.1,4.3,4.5,4.9,5.5,5.9,5.9,5.5,6.1,5.2,3.0,5.9,2.7,6.2,3.7,3.8,3.4,2.2,3.5,3.4,3.0,-1.7,4.9,3.8,3.7,4.2,4.3,4.3,4.4,4.5
Albania,2.7,5.7,2.9,1.1,2.0,-1.5,5.6,-0.8,-1.4,9.8,-10.0,-28.0,-7.2,9.6,9.4,8.9,9.1,-10.9,8.8,12.9,6.9,8.3,4.5,5.5,5.5,5.5,5.9,6.0,7.5,3.4,3.7,2.5,1.4,1.0,1.8,2.2,3.3,3.8,4.0,2.1,-3.5,8.5,3.7,2.2,3.3,3.4,3.4,3.4,3.4
Algeria,-5.4,3.0,6.4,5.4,5.6,5.6,-0.2,-0.7,-1.9,4.8,0.8,-1.2,1.6,-2.1,-0.9,3.8,3.8,1.1,5.1,3.2,3.8,3.0,5.6,7.2,4.3,5.9,1.7,3.4,2.4,1.6,3.6,2.9,3.4,2.8,3.8,3.7,3.2,1.4,1.2,1.0,-5.1,3.4,2.9,2.6,2.6,2.2,2.1,1.7,1.8
Andorra,1.1411764705882352,0.780555555555555,-0.4583333333333335,1.2166666666666663,3.5083333333333333,1.0166666666666666,1.75,3.1459459459459462,3.048648648648648,3.789189189189188,1.5216216216216214,-0.27567567567567597,3.81081081081081,1.2179487179487176,2.748780487804878,2.1707317073170724,1.92093023255814,3.6999999999999997,1.9113636363636362,2.118181818181818,3.568181818181818,8.1,4.5,8.7,8.1,5.4,4.8,1.6,-5.6,-5.3,-2.0,0.0,-5.0,-3.5,2.5,1.4,3.7,0.3,1.6,2.0,-11.2,8.9,8.7,1.3,1.5,1.5,1.5,1.5,1.5
Angola,2.4,-4.4,0.0,4.2,6.0,3.5,2.9,4.1,6.1,0.0,-3.5,12.1,11.4,11.0,10.5,10.4,11.2,7.3,4.7,2.2,3.1,4.2,13.7,3.0,11.0,15.0,11.5,14.0,11.2,0.9,4.9,3.5,8.5,5.0,4.8,0.9,-2.6,-0.2,-1.3,-0.7,-5.6,1.1,2.8,3.5,3.7,4.0,4.1,4.2,4.2
Antigua and Barbuda,8.2,3.8,-0.1,5.4,10.2,7.6,11.5,6.6,5.2,5.3,3.0,2.2,1.2,5.3,6.7,-4.4,6.6,5.5,4.7,3.7,6.2,-4.5,1.0,6.1,5.8,6.5,12.7,9.3,0.0,-12.0,-7.8,-2.0,3.4,-0.6,3.8,3.8,5.5,3.1,6.9,4.9,-20.2,5.3,6.4,5.5,5.4,4.1,2.7,2.7,2.7
Argentina,0.7,-5.7,-3.1,3.7,2.0,-7.0,7.1,2.5,-2.0,-7.0,-1.3,10.5,10.3,6.3,5.8,-2.8,5.5,8.1,3.9,-3.4,-0.8,-4.4,-10.9,9.0,8.9,8.9,8.0,9.0,4.1,-5.9,10.1,6.0,-1.0,2.4,-2.5,2.7,-2.1,2.8,-2.6,-2.0,-9.9,10.4,5.2,0.2,2.0,2.0,2.0,2.0,2.0
